Sheth Lallubhai Gordhandas Municipal General Hospital,22.999584,72.604593
SVP Hospital,23.019761,72.571668
Shardaben General Hospital,23.03297,72.610761
"Civil Hospital Asarwa, Ahemdabad",23.052534,72.604185
"Sola Civil Hospital , Sola, Ahemdabad",23.083224,72.52467
